artist;track;duration
The Future Kings of England;Lily Lockwood;498
The Future Kings of England;October Moth;229
The Future Kings of England;Silent And Invisible Converts;450
The Future Kings of England;Humber Doucy Lane;538
The Future Kings of England;10:66;463
The Future Kings of England;At Long Last...;61
Héroes del Silencio;El Cuadro II;170
Héroes del Silencio;Con Nombre De Guerra;256
Héroes del Silencio;Decadencia;269
Héroes del Silencio;Despertar;204
Héroes del Silencio;Oración;242
Héroes del Silencio;Hechizo;191
Héroes del Silencio;Senda;231
Héroes del Silencio;Malas Intenciones;225
Héroes del Silencio;La Carta;185
Héroes del Silencio;Maldito Duende;254
Héroes del Silencio;Entre Dos Tierras;371
Dire Straits;It Never Rains;476
Dire Straits;Love Over Gold;376
Dire Straits;Industrial Disease;352
Dire Straits;Private Investigations;492
Dire Straits;Telegraph Road;865
Dire Straits;Brothers in Arms;517
Dire Straits;One World;220
Dire Straits;The Man's Too Strong;280
Dire Straits;Ride Across the River;632
Dire Straits;Why Worry;317
Dire Straits;Your Latest Trick;394
Dire Straits;Walk of Life;261
Dire Straits;Money for Nothing;248
Dire Straits;So Far Away;307
Dire Straits;Follow Me Home;350
Dire Straits;Single-Handed Sailor;273
Dire Straits;Portobello Belle;265
Dire Straits;Angel of Mercy;394
Dire Straits;Lady Writer;221
Dire Straits;Communiqué;349
Dire Straits;Where Do You Think You're Going?;269
Dire Straits;News;388
Dire Straits;Once Upon a Time in the West;313
Pink Floyd;Alan's Psychedelic Breakfast;1729
Pink Floyd;Fat Old Sun;960
Pink Floyd;Summer '68;329
Pink Floyd;If;296
Pink Floyd;Atom Heart Mother;988
Pink Floyd;Eclipse;183
Pink Floyd;Brain Damage;230
Pink Floyd;Any Colour You Like;82
Pink Floyd;Us and Them;388
Pink Floyd;Money;459
Pink Floyd;The Great Gig in the Sky;266
Pink Floyd;Time;363
Pink Floyd;On the Run;370
Pink Floyd;Breathe in the Air;134
Pink Floyd;Speak to Me;81
Pink Floyd;Shine on You Crazy Diamond [Parts VI–IX];743
Pink Floyd;Wish You Were Here;366
Pink Floyd;Have a Cigar;355
Pink Floyd;Welcome to the Machine;434
Pink Floyd;Shine On You Crazy Diamond [Parts I–V];811
Pink Floyd;Pigs on the Wing 2;147
Pink Floyd;Sheep;655
Pink Floyd;Pigs [three different ones];682
Pink Floyd;Dogs;1021
Pink Floyd;Pigs on the Wing 1;108
Nino Bravo;Te Quiero, Te Quiero;171
Nino Bravo;Voy Buscando;178
Nino Bravo;Esa Será Mi Casa;193
Nino Bravo;Nuestro Hogar Será El Mundo;183
Nino Bravo;No Debo Pensar En Ti;166
Nino Bravo;Vuelvo A Estar Sin Ti;226
Nino Bravo;Como Todos;187
Nino Bravo;Tú cambiarás;150
Nino Bravo;Te Acuerdas, María;189
Nino Bravo;Carolina;148
Nino Bravo;Hoy Te Quiero Ofrecer;187
Nino Bravo;Gracias A Ti;150
Nino Bravo;Por Qué;260
Nino Bravo;Libre;251
Nino Bravo;El Amor;200
Nino Bravo;Eres Todo Cuanto Quiero;194
Nino Bravo;Volver A Empezar;163
Nino Bravo;Vete;244
Nino Bravo;Mi Tierra;264
Pink Floyd;Outside the Wall;87
Pink Floyd;The Trial;381
Pink Floyd;Stop;38
Pink Floyd;Waiting for the Worms;231
Pink Floyd;Run Like Hell;632
Pink Floyd;In the Flesh;197
Pink Floyd;The Show Must Go On;163
Pink Floyd;Bring the Boys Back Home;94
Pink Floyd;Vera;80
Pink Floyd;Nobody Home;186
Pink Floyd;Is There Anybody Out There;209
Pink Floyd;Hey You;279
Pink Floyd;Goodbye Cruel World;63
Pink Floyd;Another Brick In The Wall [part 3];75
Pink Floyd;Don't Leave Me Now;262
Pink Floyd;One of My Turns;418
Pink Floyd;Young Lust;252
Pink Floyd;Empty Spaces;113
Pink Floyd;Goodbye Blue Sky;233
Pink Floyd;Mother;421
Pink Floyd;Another Brick In The Wall [Part 2];239
Pink Floyd;The Happiest Days of Our Lives;80
Pink Floyd;Another Brick In The Wall [Part 1];190
Pink Floyd;The Thin Ice;168
Pink Floyd;In the Flesh?;177
Nino Bravo;Yo Te Quiero Dar;193
Nino Bravo;Contigo Soy Feliz;152
Nino Bravo;Mi Gran Amor;165
Nino Bravo;La Niña Es Ya Mujer;167
Nino Bravo;Por Fin Mañana;200
Nino Bravo;Noelia;185
Nino Bravo;Para qué seguir;158
Nino Bravo;Por Fin Mi Amor;165
Nino Bravo;Arena De Otoño;209
Nino Bravo;Para darte mi corazón;195
Nino Bravo;Un Beso Y Una Flor;272
Nino Bravo;Hoy Soy Feliz;194
Nino Bravo;Ese Hombre;177
Nino Bravo;Perdona;210
Nino Bravo;Flor De Invernadero;156
Nino Bravo;Amanecer;217
Nino Bravo;Elisabeth;191
Nino Bravo;Mis Noches Sin Ti;171
Nino Bravo;Por Culpa Tuya;217
Nino Bravo;Ni El Viento Ni El Tiempo;225
Nino Bravo;El Adiós;185
Nino Bravo;El Tren Se Va;222
Nino Bravo;Puerta De Amor;200
Nino Bravo;Es El Viento;158
Nino Bravo;Te Amaré;187
Nino Bravo;¿Quién eres tú?;216
Nino Bravo;Aquel Atardecer;172
Nino Bravo;Mi Querida Mamá;165
Nino Bravo;En Libertad;230
Nino Bravo;Potpourri Te Quiero, Te Quiero;390
